-16.295,1.599,-38.571,n
-6.12,-27.122,-16.214,n
-10.185,-30.655,8.576,n
-3.682,-28.429,-17.779,n
-3.242,-30.22,-15.936,f
30.579,-14.408,20.154,f
4.051,10.894,-36.138,f
39.188,0.072,39.188,f
32.293,39.188,-9.064,f
1.216,-0.287,-39.121,f
28.141,-7.072,-19.106,n
-10.76,-39.188,0.589,n
39.188,-39.188,39.188,f
-11.976,-16.621,39.188,f
31.637,7.13,33.581,f
39.188,39.188,39.188,f
-13.575,-39.188,-20.145,f
-7.063,-29.248,39.188,f
39.188,33.552,39.188,f
22.673,-4.573,23.626,n
-23.138,-0.369,22.702,f
-17.875,-39.188,39.188,f
-28.07,-16.324,5.028,n
16.233,30.785,17.291,f
39.188,3.572,8.614,f
13.992,5.737,39.188,f
-32.954,-26.815,12.541,n
-28.127,-12.115,15.021,n
-14.36,2.145,33.5,f
3.519,-32.518,-1.853,n
1.446,-39.188,0.024,f
20.403,2.093,35.223,n
-1.987,-28.817,-37.091,f
-23.037,-37.948,23.837,f
-39.188,-9.85,39.188,f
-27.217,-39.188,8.001,f
39.188,-3.156,39.188,f
-18.33,-4.784,29.157,f
-39.188,-39.188,39.188,f
23.856,1.906,23.185,n
22.644,-25.34,-1.039,n
-17.061,14.279,38.939,f
12.943,-13.714,-37.283,f
4.731,3.907,38.93,f
6.986,6.029,-39.188,f
24.325,-24.464,39.188,f
26.753,9.395,23.176,n
0.062,-8.404,31.546,n
20.494,-24.703,-3.687,f
-34.62,-28.304,39.188,f
-12.483,-38.762,3.352,f
-31.556,8.863,5.425,f
0.479,2.346,39.164,f
-31.632,30.483,13.436,f
31.608,-10.903,39.188,f
5.914,19.656,25.474,f
30.157,-4.477,39.188,f
12.34,35.583,-39.188,f
-6.618,-14.605,-36.176,f
22.573,7.834,30.253,f
13.877,7.01,-39.188,f
8.408,-23.027,-39.188,f
-14.26,-2.011,38.379,f
16.17,7.681,34.529,f
39.188,-34.069,39.188,f
7.475,-12.057,33.078,n
